-1.20000e+000 1.00000e+000 
-9.94534e-001 9.89888e-001 
-9.90680e-001 9.81407e-001 
-9.83368e-001 9.76342e-001 
-9.80904e-001 9.69255e-001 
-9.76412e-001 9.62340e-001 
-9.73329e-001 9.54665e-001 
-9.68975e-001 9.47586e-001 
-9.65628e-001 9.39955e-001 
-9.61394e-001 9.32748e-001 
-9.57843e-001 9.25164e-001 
-9.53701e-001 9.17864e-001 
-9.49991e-001 9.10321e-001 
-9.45909e-001 9.02956e-001 
-9.42078e-001 8.95445e-001 
-9.38026e-001 8.88036e-001 
-9.34104e-001 8.80546e-001 
-9.30056e-001 8.73110e-001 
-9.26065e-001 8.65631e-001 
-9.22004e-001 8.58177e-001 
-9.17958e-001 8.50703e-001 
-9.13871e-001 8.43239e-001 
-9.09778e-001 8.35765e-001 
-9.05658e-001 8.28294e-001 
-9.01522e-001 8.20818e-001 
-8.97364e-001 8.13342e-001 
-8.93186e-001 8.05863e-001 
-8.88988e-001 7.98382e-001 
-8.84769e-001 7.90900e-001 
-8.80528e-001 7.83416e-001 
